ORF,plate,date,row,col,distance
YOR202W,S1,11/19/11,1,23,19.6866
YOR202W,10,12/10/11,6,24,19.6771
YOR202W,14,12/11/11,15,5,19.6729
YOR202W,12,12/09/11,1,10,19.6505
YOR202W,12,12/09/11,1,24,19.6188
YOR202W,1,11/29/11,16,5,19.5869
YOR202W,S2,12/11/11,3,18,19.5793
YOR202W,10,12/10/11,7,24,19.5358
YOR202W,1,11/29/11,1,16,19.5115
YOR202W,add4,4/26/12,8,1,19.4587
YOR202W,S1,11/19/11,1,2,19.4469
YOR202W,S1,11/19/11,15,4,19.3791
YOR202W,S2,12/11/11,16,13,19.3755
YOR202W,4,11/29/11,1,21,19.3482
YOR202W,TS4-37,12/02/11,4,1,19.3307
YOR202W,S2,12/11/11,9,5,19.3191
YOR202W,9,12/09/11,4,1,19.3088
YOR202W,S1,11/19/11,1,12,19.2889
YOR202W,5,11/30/11,11,1,19.2831
YOR202W,S1,11/19/11,2,9,19.2536
YOR202W,6,11/30/11,8,1,19.2441
YOR202W,3,11/19/11,9,1,19.2426
YOR202W,TS4-37,12/02/11,1,1,19.1538
YOR202W,5,11/30/11,16,1,19.1351
YOR202W,TS1-37,12/01/11,15,1,19.1110
YOR202W,TS4-37,12/02/11,15,1,19.1102
YOR202W,2,11/29/11,16,9,19.0792
YOR202W,2,11/29/11,16,20,19.0792
YOR202W,TS1-37,12/01/11,4,1,19.0756
YOR202W,5,11/30/11,9,1,19.0734
YOR202W,2,11/29/11,16,1,19.0563
YOR202W,add1,4/26/12,1,23,19.0499
YOR202W,TS1-RT,12/01/11,1,14,19.0232
YOR202W,4,11/29/11,4,24,19.0131
YOR202W,TS4-37,12/02/11,16,14,19.0043
YOR202W,10,12/10/11,16,1,18.9799
YOR202W,rmkDM,06/19/12,8,1,18.9505
YOR202W,rmkDM,06/18/12,11,1,18.9496
YOR202W,1,11/29/11,8,24,18.9111
YOR202W,add1,4/26/12,16,10,18.9073
YOR202W,4,11/29/11,1,1,18.8437
YOR202W,add4,4/26/12,16,11,18.8263
YOR202W,S2,12/11/11,10,1,18.8254
YOR202W,6,11/30/11,14,24,18.8248
YOR202W,9,12/09/11,1,7,18.7873
YOR202W,rmkDM,06/19/12,16,12,18.7849
