ORF,plate,date,row,col,distance
YOR202W,S1,11/19/11,16,8,183.7281
YOR202W,6,11/30/11,12,24,183.5292
YOR202W,TS1-RT,12/01/11,4,1,183.4792
YOR202W,rmkDM,06/18/12,1,19,183.4259
YOR202W,11,12/10/11,2,24,183.1385
YOR202W,7,11/30/11,16,3,183.1361
YOR202W,9,12/09/11,1,3,183.1187
YOR202W,7,11/30/11,16,7,183.1152
YOR202W,5,11/30/11,16,12,182.9242
YOR202W,6,11/30/11,16,17,182.8399
YOR202W,7,11/30/11,10,24,182.8197
YOR202W,TS2-37,12/01/11,16,16,182.7629
YOR202W,11,12/10/11,16,13,182.6961
YOR202W,TS3-37,12/02/11,8,1,182.3618
YOR202W,9,12/09/11,16,6,182.3354
YOR202W,TS3-RT,12/02/11,1,20,182.3168
YOR202W,5,11/30/11,1,10,182.2895
YOR202W,S2,12/11/11,9,5,182.2363
YOR202W,rmkDM,06/18/12,1,17,182.2133
YOR202W,5,11/30/11,16,5,181.9348
YOR202W,S1,11/19/11,10,19,181.9292
YOR202W,rmkDM,06/19/12,6,1,181.9021
YOR202W,TS4-RT,12/02/11,13,24,181.6114
YOR202W,9,12/09/11,9,1,181.5996
YOR202W,S1,11/19/11,1,7,181.3440
YOR202W,add1,4/26/12,6,1,181.3068
YOR202W,11,12/10/11,16,23,181.2617
YOR202W,7,11/30/11,16,22,181.1528
YOR202W,10,12/10/11,16,2,181.0926
YOR202W,S2,12/11/11,9,21,180.9054
YOR202W,4,11/29/11,2,1,180.8546
YOR202W,11,12/10/11,16,24,180.7213
YOR202W,13,12/11/11,1,16,180.6558
YOR202W,add1,4/26/12,8,24,180.4849
YOR202W,7,11/30/11,4,1,180.4208
YOR202W,6,11/30/11,16,10,180.3923
YOR202W,TS1-RT,12/01/11,1,4,180.2387
YOR202W,rmkDM,06/19/12,16,7,180.0335
YOR202W,12,12/09/11,16,16,179.9751
YOR202W,2,11/29/11,2,1,179.9749
YOR202W,add1,4/26/12,13,1,179.8138
YOR202W,rmkDM,06/18/12,1,10,179.7708
YOR202W,TS4-RT,12/02/11,16,24,179.7532
YOR202W,TS4-37,12/02/11,16,1,179.7291
YOR202W,TS1-37,12/01/11,1,10,179.6648
YOR202W,10,12/10/11,14,24,179.3304
YOR202W,1,11/29/11,14,1,179.3297
YOR202W,13,12/11/11,6,1,179.2182
YOR202W,TS1-37,12/01/11,12,24,179.1884
YOR202W,add4,4/26/12,16,6,179.1588
YOR202W,7,11/30/11,2,1,178.9970
YOR202W,7,11/30/11,16,10,178.9660
YOR202W,7,11/30/11,16,15,178.9526
YOR202W,6,11/30/11,3,24,178.9003
YOR202W,TS1-RT,12/01/11,1,5,178.8997
YOR202W,TS1-RT,12/01/11,1,2,178.8281
YOR202W,5,11/30/11,16,7,178.7470
YOR202W,6,11/30/11,1,9,178.7240
YOR202W,2,11/29/11,16,10,178.7094
YOR202W,TS2-RT,12/01/11,5,1,178.6907
YOR202W,TS2-RT,12/01/11,16,3,178.6423
YOR202W,8,11/30/11,16,6,178.6158
YOR202W,add1,4/26/12,1,16,178.5841
YOR202W,TS1-RT,12/01/11,13,1,178.3704
YOR202W,TS1-RT,12/01/11,1,12,178.1017
YOR202W,TS2-RT,12/01/11,14,1,178.0204
YOR202W,TS2-37,12/01/11,1,19,177.9920
YOR202W,14,12/11/11,1,2,177.9333
YOR202W,8,11/30/11,12,24,177.8007
YOR202W,TS1-RT,12/01/11,1,10,177.7047
YOR202W,rmkDM,06/18/12,1,11,177.6571
YOR202W,S2,12/11/11,15,24,177.5548
YOR202W,8,11/30/11,1,19,177.4542
YOR202W,4,11/29/11,1,8,177.2641
YOR202W,6,11/30/11,16,9,176.9545
YOR202W,12,12/09/11,1,12,176.9446
YOR202W,add1,4/26/12,16,10,176.9002
YOR202W,5,11/30/11,14,1,176.8035
YOR202W,TS2-37,12/01/11,15,1,176.7335
YOR202W,S2,12/11/11,1,22,176.4033
YOR202W,S1,11/19/11,13,2,176.2594
YOR202W,TS2-RT,12/01/11,8,1,176.1518
YOR202W,9,12/09/11,16,4,176.0438
YOR202W,TS2-37,12/01/11,16,10,175.9870
YOR202W,2,11/29/11,13,1,175.9432
YOR202W,5,11/30/11,16,2,175.8369
YOR202W,TS1-RT,12/01/11,16,1,175.8247
YOR202W,S1,11/19/11,9,1,175.6986
YOR202W,12,12/09/11,9,24,175.6741
YOR202W,TS1-RT,12/01/11,16,11,175.6714
YOR202W,TS2-RT,12/01/11,10,24,175.4717
YOR202W,TS1-37,12/01/11,16,17,175.4294
YOR202W,TS1-RT,12/01/11,1,14,175.3051
YOR202W,8,11/30/11,1,21,175.1650
YOR202W,10,12/10/11,7,1,175.1151
YOR202W,4,11/29/11,4,24,175.0255
YOR202W,12,12/09/11,1,23,174.9487
YOR202W,TS4-37,12/02/11,11,1,174.7612
YOR202W,3,11/19/11,16,18,174.7573
YOR202W,1,11/29/11,1,11,174.5748
YOR202W,TS1-37,12/01/11,10,24,174.3908
YOR202W,S2,12/11/11,5,8,174.3605
YOR202W,TS4-37,12/02/11,16,21,174.3231
YOR202W,TS1-RT,12/01/11,1,15,174.2776
YOR202W,S2,12/11/11,6,1,174.1590
YOR202W,add1,4/26/12,1,10,173.9288
YOR202W,S1,11/19/11,16,23,173.9117
YOR202W,TS1-RT,12/01/11,16,3,173.7556
YOR202W,TS1-RT,12/01/11,9,1,173.1729
YOR202W,11,12/10/11,6,24,173.1531
YOR202W,TS1-RT,12/01/11,1,3,172.9034
YOR202W,TS3-37,12/02/11,2,1,172.8702
YOR202W,4,11/29/11,12,24,172.8543
