ORF,distance,meta
YPL082C,27.506364235,(TS4-37, 12/02/11, 2, 23)
YLR119W,27.4934155793,(rmkDM, 06/19/12, 8, 10, 21.041961917439885),(9, 12/09/11, 7, 21, 33.944869241162856)
YPR135W,27.3728616024,(rmkDM, 06/18/12, 15, 17, 20.544967842061173),(14, 12/11/11, 7, 23, 34.200755362773371)
YNL198C,27.3327895723,(11, 12/10/11, 8, 8)
YDR042C,27.3206765339,(14, 12/11/11, 8, 4)
YPL113C,27.2925481875,(13, 12/11/11, 10, 14)
YMR165C,27.2727455239,(14, 12/11/11, 10, 3)
YJL024C,27.2392484977,(7, 11/30/11, 9, 7)
YLR212C,27.2202644392,(TS2-RT, 12/01/11, 5, 8)
YGL024W,27.2180946768,(5, 11/30/11, 13, 22)
YGR157W,27.1047212189,(add4, 4/26/12, 7, 9, 22.932383751867409),(rmkDM, 06/18/12, 11, 7, 31.277058685872259)
YHR009C,27.0515533015,(rmkDM, 06/18/12, 13, 15, 16.428397304968666),(6, 11/30/11, 11, 5, 37.674709298026144)
YFL039C,27.0365140571,(TS4-RT, 12/02/11, 3, 16)
YGL019W,27.0136018751,(5, 11/30/11, 11, 8)
YOR182C,27.0095908948,(rmkDM, 06/19/12, 2, 5, 16.700222846975329),(12, 12/09/11, 12, 5, 37.318958942551895)
YEL013W,26.8728048961,(add1, 4/26/12, 2, 5, 23.204312648608056),(rmkDM, 06/19/12, 12, 13, 17.839438150637655),(4, 11/29/11, 3, 3, 39.574663889023903)
YGL244W,26.8440225873,(5, 11/30/11, 8, 22)
YMR298W,26.8058748177,(TS4-37, 12/02/11, 6, 10)
YML067C,26.7680921743,(10, 12/10/11, 5, 19)
YBR160W,26.7633808497,(TS4-37, 12/02/11, 7, 3)
YMR272C,26.7410900733,(TS4-RT, 12/02/11, 12, 16)
YLR378C,26.6956339409,(TS1-RT, 12/01/11, 13, 4)
YBR082C,26.687888188,(14, 12/11/11, 10, 16, 26.687888188016963)
YER052C,26.6381823684,(add1, 4/26/12, 9, 14)
YNR005C,26.6188227361,(11, 12/10/11, 14, 23)
YDR311W,26.616527659,(TS2-RT, 12/01/11, 14, 4)
YLR249W,26.5921753848,(TS2-37, 12/01/11, 14, 11)
YOR285W,26.5628233589,(add1, 4/26/12, 15, 16)
YER123W,26.5121065907,(rmkDM, 06/18/12, 5, 23, 16.815926856516104),(4, 11/29/11, 12, 4, 36.208286324814161)
