ORF,distance,meta
YLL057C,265.994304025,(9, 12/09/11, 3, 2)
YBR160W,265.916299201,(TS4-RT, 12/02/11, 7, 13)
YNL199C,265.324204869,(rmkDM, 06/19/12, 14, 5, 317.13179054421011),(11, 12/10/11, 8, 6, 213.51661919467247)
YLR100W,265.301654106,(TS2-RT, 12/01/11, 3, 5)
YDR529C,264.919041191,(S2, 12/11/11, 2, 4)
YEL050C,264.816370784,(S1, 11/19/11, 6, 6)
YLL006W,263.80440959,(8, 11/30/11, 10, 13)
YLR034C,263.803709112,(add1, 4/26/12, 10, 7, 136.08411126531621),(9, 12/09/11, 9, 12, 391.52330695780472)
YJR046W,263.255187361,(TS1-37, 12/01/11, 7, 13)
YLR058C,263.221831983,(9, 12/09/11, 13, 14)
YIL048W,262.515798889,(TS1-RT, 12/01/11, 5, 4)
YLR327C,262.392052263,(9, 12/09/11, 2, 9)
YGR013W,262.247174599,(TS2-37, 12/01/11, 11, 8)
YDR259C,261.934353754,(3, 11/19/11, 10, 10)
YOL104C,261.337717688,(12, 12/09/11, 11, 21)
YOR155C,261.328595233,(14, 12/11/11, 4, 2)
YML105C,261.314875312,(TS1-37, 12/01/11, 2, 2)
YDR311W,261.152564017,(TS2-RT, 12/01/11, 14, 4)
YJL029C,260.377968397,(14, 12/11/11, 8, 13)
YDR073W,260.238908299,(3, 11/19/11, 3, 23)
YFR050C,260.08326891,(TS1-37, 12/01/11, 6, 8)
YBL036C,260.020850278,(add4, 4/26/12, 7, 8, 155.11674038381418),(1, 11/29/11, 5, 23, 364.92496017267837)
YBR294W,259.659442463,(2, 11/29/11, 13, 22)
YFL039C,259.453231294,(TS1-37, 12/01/11, 11, 16)
YLR364W,258.947398219,(9, 12/09/11, 8, 17)
YJR072C,258.452899858,(TS2-37, 12/01/11, 15, 8)
YOL088C,258.429098161,(12, 12/09/11, 9, 21)
YER170W,258.22516729,(4, 11/29/11, 4, 11)
YIL107C,258.207296037,(add4, 4/26/12, 6, 17, 365.53832324633009),(7, 11/30/11, 7, 6, 150.87626882769084)
YBR141C,257.289300108,(1, 11/29/11, 4, 21)
