Cluster 0: size = 130 (WT = 130)
Cluster 1: size = 278 (WT = 278)
Cluster 2: size = 184 (WT = 184)
ORF,plate,date,row,col,cluster
YOR202W,TS4-37,12/02/11,16,17,0
YOR202W,TS4-37,12/02/11,16,18,2
YOR202W,TS4-37,12/02/11,16,19,2
YOR202W,TS4-37,12/02/11,16,20,2
YOR202W,TS4-37,12/02/11,16,21,2
YOR202W,TS4-37,12/02/11,16,22,2
YOR202W,TS4-37,12/02/11,16,23,2
YOR202W,TS4-37,12/02/11,16,24,2
YOR202W,TS4-RT,12/02/11,1,1,1
YOR202W,TS4-RT,12/02/11,1,2,1
YOR202W,TS4-RT,12/02/11,1,3,1
YOR202W,TS4-RT,12/02/11,1,4,1
YOR202W,TS4-RT,12/02/11,1,5,1
YOR202W,TS4-RT,12/02/11,1,6,1
YOR202W,TS4-RT,12/02/11,1,7,1
YOR202W,TS4-RT,12/02/11,1,8,1
YOR202W,TS4-RT,12/02/11,1,9,1
YOR202W,TS4-RT,12/02/11,1,10,1
YOR202W,TS4-RT,12/02/11,1,11,1
YOR202W,TS4-RT,12/02/11,1,12,2
YOR202W,TS4-RT,12/02/11,1,13,0
YOR202W,TS4-RT,12/02/11,1,14,1
YOR202W,TS4-RT,12/02/11,1,15,1
YOR202W,TS4-RT,12/02/11,1,16,1
YOR202W,TS4-RT,12/02/11,1,17,1
YOR202W,TS4-RT,12/02/11,1,18,1
YOR202W,TS4-RT,12/02/11,1,19,1
YOR202W,TS4-RT,12/02/11,1,20,1
YOR202W,TS4-RT,12/02/11,1,21,0
YOR202W,TS4-RT,12/02/11,1,22,2
YOR202W,TS4-RT,12/02/11,1,23,1
YOR202W,TS4-RT,12/02/11,1,24,2
YOR202W,TS4-RT,12/02/11,2,1,0
YOR202W,TS4-RT,12/02/11,2,24,1
YOR202W,TS4-RT,12/02/11,3,1,1
YOR202W,TS4-RT,12/02/11,3,24,1
YOR202W,TS4-RT,12/02/11,4,1,1
YOR202W,TS4-RT,12/02/11,5,1,1
YOR202W,TS4-RT,12/02/11,5,24,1
YOR202W,TS4-RT,12/02/11,6,1,1
YOR202W,TS4-RT,12/02/11,6,24,1
