Cluster 0: size = 123 (WT = 123)
Cluster 1: size = 110 (WT = 110)
Cluster 2: size = 161 (WT = 161)
Cluster 3: size = 111 (WT = 111)
Cluster 4: size = 87 (WT = 87)
ORF,plate,date,row,col,cluster
YOR202W,TS3-37,12/02/11,1,24,3
YOR202W,TS3-37,12/02/11,2,1,4
YOR202W,TS3-37,12/02/11,2,24,3
YOR202W,TS3-37,12/02/11,3,1,4
YOR202W,TS3-37,12/02/11,4,1,4
YOR202W,TS3-37,12/02/11,4,24,3
YOR202W,TS3-37,12/02/11,5,1,1
YOR202W,TS3-37,12/02/11,5,24,3
YOR202W,TS3-37,12/02/11,6,1,4
YOR202W,TS3-37,12/02/11,6,24,3
YOR202W,TS3-37,12/02/11,7,1,4
YOR202W,TS3-37,12/02/11,7,24,3
YOR202W,TS3-37,12/02/11,8,1,4
YOR202W,TS3-37,12/02/11,8,24,3
YOR202W,TS3-37,12/02/11,9,1,4
YOR202W,TS3-37,12/02/11,9,24,3
YOR202W,TS3-37,12/02/11,10,1,4
YOR202W,TS3-37,12/02/11,10,24,3
YOR202W,TS3-37,12/02/11,11,1,1
YOR202W,TS3-37,12/02/11,11,24,3
YOR202W,TS3-37,12/02/11,12,1,4
YOR202W,TS3-37,12/02/11,13,1,1
YOR202W,TS3-37,12/02/11,13,24,3
YOR202W,TS3-37,12/02/11,15,1,1
YOR202W,TS3-37,12/02/11,15,24,3
YOR202W,TS3-37,12/02/11,16,1,4
YOR202W,TS3-37,12/02/11,16,3,1
YOR202W,TS3-37,12/02/11,16,4,1
YOR202W,TS3-37,12/02/11,16,5,1
YOR202W,TS3-37,12/02/11,16,7,1
YOR202W,TS3-37,12/02/11,16,8,1
YOR202W,TS3-37,12/02/11,16,9,1
YOR202W,TS3-37,12/02/11,16,11,1
YOR202W,TS3-37,12/02/11,16,13,1
YOR202W,TS3-37,12/02/11,16,15,1
YOR202W,TS3-37,12/02/11,16,16,3
YOR202W,TS3-37,12/02/11,16,17,3
YOR202W,TS3-37,12/02/11,16,19,3
YOR202W,TS3-37,12/02/11,16,21,3
YOR202W,TS3-37,12/02/11,16,22,3
YOR202W,TS3-37,12/02/11,16,23,3
YOR202W,TS3-37,12/02/11,16,24,1
