ORF,plate,date,row,col,class,proba
YBR270C,add1,4/26/12,9,9,0,1.00000,0.00000
YOL131W,add1,4/26/12,9,10,0,1.00000,0.00000
YMR306W,add1,4/26/12,9,11,0,1.00000,0.00000
YPL019C,add1,4/26/12,9,12,0,1.00000,0.00000
YGL147C,add1,4/26/12,9,13,0,1.00000,0.00000
YER052C,add1,4/26/12,9,14,0,1.00000,0.00000
YOR314W,add1,4/26/12,9,15,0,1.00000,0.00000
YLL017W,add1,4/26/12,9,16,0,1.00000,0.00000
YDR483W,add1,4/26/12,9,17,0,1.00000,0.00000
YDL091C,add1,4/26/12,9,18,0,1.00000,0.00000
YOR324C,add1,4/26/12,9,19,0,1.00000,0.00000
YBR090C,add1,4/26/12,9,20,0,1.00000,0.00000
YPR005C,add1,4/26/12,9,21,0,1.00000,0.00000
YOL047C,add1,4/26/12,9,22,0,1.00000,0.00000
YJL106W,add1,4/26/12,9,23,0,1.00000,0.00000
YBR281C,add1,4/26/12,10,2,0,1.00000,0.00000
YAR018C,add1,4/26/12,10,3,0,0.97350,0.02650
YDR258C,add1,4/26/12,10,4,0,1.00000,0.00000
YBL007C,add1,4/26/12,10,5,1,0.00000,1.00000
YJL206C,add1,4/26/12,10,6,0,1.00000,0.00000
YLR034C,add1,4/26/12,10,7,0,1.00000,0.00000
YAL026C,add1,4/26/12,10,8,0,1.00000,0.00000
YDL118W,add1,4/26/12,10,9,0,1.00000,0.00000
YER156C,add1,4/26/12,10,10,0,1.00000,0.00000
YER004W,add1,4/26/12,10,11,0,1.00000,0.00000
YOL001W,add1,4/26/12,10,12,0,1.00000,0.00000
YCL001W-A,add1,4/26/12,10,13,0,1.00000,0.00000
YOL013W-A,add1,4/26/12,10,14,0,1.00000,0.00000
YKR027W,add1,4/26/12,10,15,0,0.98048,0.01952
YDL006W,add1,4/26/12,10,16,1,0.00000,1.00000
YNL292W,add1,4/26/12,10,17,0,1.00000,0.00000
YMR006C,add1,4/26/12,10,18,1,0.05738,0.94262
YKL123W,add1,4/26/12,10,19,0,1.00000,0.00000
YOR368W,add1,4/26/12,10,20,0,0.99991,0.00009
YMR205C,add1,4/26/12,10,21,0,0.99742,0.00258
YDL078C,add1,4/26/12,10,22,1,0.00000,1.00000
YDL125C,add1,4/26/12,10,23,0,1.00000,0.00000
YOR219C,add1,4/26/12,11,2,0,0.99977,0.00023
YBR295W,add1,4/26/12,11,3,0,1.00000,0.00000
YDR019C,add1,4/26/12,11,5,0,1.00000,0.00000
YNL155W,add1,4/26/12,11,6,0,1.00000,0.00000
YOR296W,add1,4/26/12,11,7,0,1.00000,0.00000
YOR293W,add1,4/26/12,11,8,1,0.00000,1.00000
YDR085C,add1,4/26/12,11,9,0,1.00000,0.00000
YOR209C,add1,4/26/12,11,10,0,1.00000,0.00000
YDR388W,add1,4/26/12,11,11,0,0.75204,0.24796
YLR031W,add1,4/26/12,11,12,0,1.00000,0.00000
YCR101C,add1,4/26/12,11,13,0,1.00000,0.00000
YOL138C,add1,4/26/12,11,14,0,1.00000,0.00000
YGL049C,add1,4/26/12,11,15,0,1.00000,0.00000
YGR092W,add1,4/26/12,11,16,0,0.99999,0.00001
YOR190W,add1,4/26/12,11,17,0,1.00000,0.00000
YJR049C,add1,4/26/12,11,19,0,1.00000,0.00000
YOR238W,add1,4/26/12,11,20,0,0.99991,0.00009
YBR272C,add1,4/26/12,11,21,0,1.00000,0.00000
YPR013C,add1,4/26/12,11,22,0,1.00000,0.00000
YER031C,add1,4/26/12,11,23,0,1.00000,0.00000
YPR070W,add1,4/26/12,12,2,0,1.00000,0.00000
YAR028W,add1,4/26/12,12,3,0,1.00000,0.00000
YDR438W,add1,4/26/12,12,4,0,1.00000,0.00000
YFR008W,add1,4/26/12,12,5,0,1.00000,0.00000
YLL015W,add1,4/26/12,12,7,0,1.00000,0.00000
YDL174C,add1,4/26/12,12,8,0,1.00000,0.00000
YDR117C,add1,4/26/12,12,9,0,1.00000,0.00000
YBR255W,add1,4/26/12,12,10,0,0.94744,0.05256
YDL135C,add1,4/26/12,12,11,0,1.00000,0.00000
YOR135C,add1,4/26/12,12,12,0,1.00000,0.00000
YMR315W,add1,4/26/12,12,13,0,1.00000,0.00000
YPR174C,add1,4/26/12,12,14,0,1.00000,0.00000
YPL174C,add1,4/26/12,12,15,0,0.99999,0.00001
YCL026C,add1,4/26/12,12,16,0,1.00000,0.00000
YOR055W,add1,4/26/12,12,17,0,1.00000,0.00000
YEL040W,add1,4/26/12,12,18,0,0.91261,0.08739
YJL107C,add1,4/26/12,12,19,0,1.00000,0.00000
YER063W,add1,4/26/12,12,21,0,1.00000,0.00000
YFL043C,add1,4/26/12,12,23,0,1.00000,0.00000
YML034W,add1,4/26/12,13,2,0,1.00000,0.00000
YOR246C,add1,4/26/12,13,3,0,1.00000,0.00000
YGL164C,add1,4/26/12,13,4,0,1.00000,0.00000
YDL046W,add1,4/26/12,13,5,0,1.00000,0.00000
YDR496C,add1,4/26/12,13,6,0,1.00000,0.00000
YBR214W,add1,4/26/12,13,7,0,1.00000,0.00000
YPL055C,add1,4/26/12,13,8,0,0.98636,0.01364
YIL035C,add1,4/26/12,13,9,0,1.00000,0.00000
YGR034W,add1,4/26/12,13,10,0,1.00000,0.00000
YER056C,add1,4/26/12,13,11,0,1.00000,0.00000
YNL034W,add1,4/26/12,13,12,0,1.00000,0.00000
YPL096W,add1,4/26/12,13,13,0,1.00000,0.00000
YLR056W,add1,4/26/12,13,14,1,0.00004,0.99996
YLR357W,add1,4/26/12,13,15,1,0.00000,1.00000
YBR240C,add1,4/26/12,13,16,0,1.00000,0.00000
YDL070W,add1,4/26/12,13,17,0,1.00000,0.00000
YDL137W,add1,4/26/12,13,18,0,1.00000,0.00000
YJL120W,add1,4/26/12,13,19,0,0.99990,0.00010
YPR076W,add1,4/26/12,13,20,0,1.00000,0.00000
YJR083C,add1,4/26/12,13,21,0,1.00000,0.00000
YML035C,add1,4/26/12,13,22,0,1.00000,0.00000
YCR106W,add1,4/26/12,13,23,0,1.00000,0.00000
YPL057C,add1,4/26/12,14,3,1,0.00028,0.99972
YJL030W,add1,4/26/12,14,4,0,1.00000,0.00000
YOR022C,add1,4/26/12,14,5,0,0.99970,0.00030
YNL219C,add1,4/26/12,14,6,0,1.00000,0.00000
YDR255C,add1,4/26/12,14,7,0,1.00000,0.00000
YPL270W,add1,4/26/12,14,9,0,1.00000,0.00000
YLR014C,add1,4/26/12,14,10,0,1.00000,0.00000
YNR002C,add1,4/26/12,14,11,0,1.00000,0.00000
YPL200W,add1,4/26/12,14,12,0,1.00000,0.00000
YCR016W,add1,4/26/12,14,13,0,1.00000,0.00000
